Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,3140.000000,3145.000000,3110.000000,3125.000000,2678.236572,82390000
2017-10-24,3140.000000,3140.000000,3090.000000,3095.000000,2652.525391,57974000
2017-10-25,3095.000000,3140.000000,3090.000000,3120.000000,2673.951416,79974500
2017-10-26,3140.000000,3150.000000,3120.000000,3125.000000,2678.236572,113016500
2017-10-27,3125.000000,3140.000000,3115.000000,3120.000000,2673.951416,134568500
2017-10-30,3130.000000,3140.000000,3105.000000,3110.000000,2665.381104,115711500
2017-10-31,3140.000000,3140.000000,3110.000000,3120.000000,2673.951416,124347500
2017-11-01,3115.000000,3140.000000,3115.000000,3140.000000,2691.092285,48605000
2017-11-02,3140.000000,3190.000000,3135.000000,3190.000000,2733.944092,121672500
2017-11-03,3190.000000,3210.000000,3180.000000,3200.000000,2742.514160,74016500
2017-11-06,3215.000000,3285.000000,3205.000000,3250.000000,2785.365723,158253000
2017-11-07,3250.000000,3275.000000,3230.000000,3240.000000,2776.795898,79145500
2017-11-08,3260.000000,3365.000000,3250.000000,3290.000000,2819.647461,198185500
2017-11-09,3290.000000,3315.000000,3285.000000,3290.000000,2819.647461,187067000
2017-11-10,3320.000000,3370.000000,3270.000000,3280.000000,2811.077148,100147400
2017-11-13,3280.000000,3330.000000,3260.000000,3260.000000,2793.936279,55986100
2017-11-14,3250.000000,3300.000000,3170.000000,3170.000000,2716.803223,105187300
2017-11-15,3180.000000,3210.000000,3120.000000,3140.000000,2691.092285,79049700
2017-11-16,3150.000000,3240.000000,3150.000000,3210.000000,2751.084717,78015200
2017-11-17,3250.000000,3310.000000,3210.000000,3290.000000,2819.647461,114054700
2017-11-20,3300.000000,3380.000000,3290.000000,3340.000000,2862.499268,92309000
2017-11-21,3310.000000,3330.000000,3270.000000,3280.000000,2811.077148,109824700
2017-11-22,3290.000000,3410.000000,3280.000000,3400.000000,2913.921387,147637500
2017-11-23,3350.000000,3400.000000,3350.000000,3360.000000,2879.639893,49703700
2017-11-24,3360.000000,3360.000000,3340.000000,3350.000000,2871.069336,82715200
2017-11-27,3310.000000,3350.000000,3280.000000,3300.000000,2828.218018,106455100
2017-11-28,3320.000000,3380.000000,3280.000000,3380.000000,2896.780762,137567700
2017-11-29,3390.000000,3400.000000,3300.000000,3300.000000,2828.218018,103889000
2017-11-30,3300.000000,3350.000000,3210.000000,3210.000000,2751.084717,201668800
2017-12-01,3210.000000,3210.000000,3210.000000,3210.000000,2751.084717,0
2017-12-04,3330.000000,3350.000000,3260.000000,3300.000000,2828.218018,133236100
2017-12-05,3340.000000,3360.000000,3310.000000,3350.000000,2871.069336,65374200
2017-12-06,3350.000000,3470.000000,3340.000000,3460.000000,2965.343506,166654900
2017-12-07,3460.000000,3470.000000,3380.000000,3380.000000,2896.780762,57218100
2017-12-08,3400.000000,3430.000000,3370.000000,3370.000000,2888.210205,65653200
2017-12-11,3430.000000,3440.000000,3410.000000,3440.000000,2948.202881,66901400
2017-12-12,3450.000000,3460.000000,3410.000000,3450.000000,2956.773438,61413100
2017-12-13,3450.000000,3450.000000,3420.000000,3450.000000,2956.773438,43015500
2017-12-14,3430.000000,3460.000000,3390.000000,3460.000000,2965.343506,96228400
2017-12-15,3460.000000,3460.000000,3380.000000,3390.000000,2905.350830,114011200
2017-12-18,3390.000000,3400.000000,3350.000000,3390.000000,2905.350830,69279000
2017-12-19,3430.000000,3440.000000,3390.000000,3440.000000,2948.202881,90867800
2017-12-20,3460.000000,3460.000000,3390.000000,3400.000000,2913.921387,75330200
2017-12-21,3440.000000,3460.000000,3410.000000,3420.000000,2931.062012,68727700
2017-12-22,3430.000000,3470.000000,3410.000000,3460.000000,2965.343506,66126700
2017-12-25,3460.000000,3460.000000,3460.000000,3460.000000,2965.343506,0
2017-12-26,3460.000000,3460.000000,3460.000000,3460.000000,2965.343506,0
2017-12-27,3470.000000,3550.000000,3460.000000,3550.000000,3042.476807,83657200
2017-12-28,3580.000000,3650.000000,3560.000000,3630.000000,3111.039795,92953000
2017-12-29,3650.000000,3720.000000,3580.000000,3640.000000,3119.609863,107708500
2018-01-01,3640.000000,3640.000000,3640.000000,3640.000000,3119.609863,0
2018-01-02,3690.000000,3720.000000,3610.000000,3630.000000,3111.039795,91127100
2018-01-03,3630.000000,3630.000000,3560.000000,3610.000000,3093.898926,70148700
2018-01-04,3610.000000,3610.000000,3460.000000,3550.000000,3042.476807,156406300
2018-01-05,3550.000000,3590.000000,3520.000000,3590.000000,3076.758545,87095600
2018-01-08,3590.000000,3590.000000,3560.000000,3590.000000,3076.758545,54559100
2018-01-09,3600.000000,3600.000000,3530.000000,3570.000000,3059.617432,90606700
2018-01-10,3580.000000,3590.000000,3500.000000,3530.000000,3025.335938,116409100
2018-01-11,3540.000000,3540.000000,3480.000000,3540.000000,3033.906250,114378900
2018-01-12,3550.000000,3580.000000,3500.000000,3540.000000,3033.906250,133445300
2018-01-15,3540.000000,3570.000000,3540.000000,3550.000000,3042.476807,86615800
2018-01-16,3530.000000,3610.000000,3530.000000,3610.000000,3093.898926,92106400
2018-01-17,3620.000000,3630.000000,3580.000000,3630.000000,3111.039795,81465500
